timestamp_sec,timestamp_nanosec,orient_x,orient_y,orient_z,orient_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,temperature_celsius,wifi_ssid,wifi_signal_strength
1762542615,387025092,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.0,0.0,-0.09,-4.1875e-06,-2.5625e-06,-5.725e-05,,TP-Link_C53A,-25
1762542615,487900518,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.0,0.0,-0.07,-4.5625e-06,-3.75e-06,-5.6875e-05,,TP-Link_C53A,-25
1762542615,587051963,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0,0.0,0.0,0.0,-0.06,-4.875e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-25
1762542615,686482129,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.09,-4.5625e-06,-3.375e-06,-5.85625e-05,,TP-Link_C53A,-26
1762542615,786390814,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.02,-0.01,-0.07,-3.75e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-26
1762542615,886383870,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0033333333333333335,0.0,0.0,0.0,-0.08,-4.5625e-06,-3e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542615,986315870,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0033333333333333335,0.0,0.0,0.0,0.0,-0.1,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542616,86282259,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,-0.01,-0.02,-0.09,-3.375e-06,-3.75e-06,-5.725e-05,,TP-Link_C53A,-26
1762542616,185569499,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,0.0,-0.09,-4.875e-06,-3.75e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542616,285421685,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.0,0.0,-0.1,-4.1875e-06,-3.75e-06,-5.5875e-05,,TP-Link_C53A,-26
